Entity,Code,Year,"Current health expenditure per capita, PPP (current international $)",time
Afghanistan,AFG,2022,383.1073,2022
Albania,ALB,2022,1186.2153,2022
Algeria,DZA,2022,547.32007,2022
Andorra,AND,2022,5136.417,2022
Angola,AGO,2022,216.91925,2022
Antigua and Barbuda,ATG,2022,1435.9362,2022
Argentina,ARG,2022,2664.3525,2022
Armenia,ARM,2022,1823.5403,2022
Australia,AUS,2022,7072.1724,2022
Austria,AUT,2022,7974.463,2022
Azerbaijan,AZE,2022,698.71686,2022
Bahamas,BHS,2022,3047.2175,2022
Bahrain,BHR,2022,2256.5115,2022
Bangladesh,BGD,2022,178.71054,2022
Barbados,BRB,2022,1171.5464,2022
Belarus,BLR,2022,1510.6686,2022
Belgium,BEL,2022,7388.487,2022
Belize,BLZ,2022,476.5099,2022
Benin,BEN,2022,105.51878,2022
Bhutan,BTN,2022,600.0073,2022
Bolivia,BOL,2022,830.75256,2022
Bosnia and Herzegovina,BIH,2022,1826.6307,2022
Botswana,BWA,2022,1131.766,2022
Brazil,BRA,2022,1696.409,2022
Brunei,BRN,2022,1241.9971,2022
Bulgaria,BGR,2022,2569.6711,2022
Burkina Faso,BFA,2022,174.36192,2022
Burundi,BDI,2022,67.94091,2022
Cambodia,KHM,2022,333.34167,2022
Cameroon,CMR,2022,202.47026,2022
Canada,CAN,2022,6991.1006,2022
Cape Verde,CPV,2022,663.90674,2022
Central African Republic,CAF,2022,109.19654,2022
Chad,TCD,2022,93.507805,2022
Chile,CHL,2022,3171.2642,2022
China,CHN,2022,1135.6713,2022
Colombia,COL,2022,1598.8687,2022
Comoros,COM,2022,317.39932,2022
Congo,COG,2022,82.80849,2022
Costa Rica,CRI,2022,1917.434,2022
Cote d'Ivoire,CIV,2022,226.62164,2022
Croatia,HRV,2022,3054.5444,2022
Cuba,CUB,2022,2884.429,2022
Cyprus,CYP,2022,4813.3003,2022
Czechia,CZE,2022,4616.5073,2022
Democratic Republic of Congo,COD,2022,49.821655,2022
Denmark,DNK,2022,7424.0317,2022
Djibouti,DJI,2022,153.733,2022
Dominica,DMA,2022,931.333,2022
Dominican Republic,DOM,2022,1044.242,2022
East Timor,TLS,2022,340.951,2022
Ecuador,ECU,2022,989.0487,2022
Egypt,EGY,2022,699.9062,2022
El Salvador,SLV,2022,1084.944,2022
Equatorial Guinea,GNQ,2022,466.3701,2022
Eritrea,ERI,2022,86.79503,2022
Estonia,EST,2022,3408.6025,2022
Eswatini,SWZ,2022,761.85333,2022
Ethiopia,ETH,2022,78.95125,2022
Fiji,FJI,2022,593.2219,2022
Finland,FIN,2022,6048.3804,2022
France,FRA,2022,6853.289,2022
Gabon,GAB,2022,461.25543,2022
Gambia,GMB,2022,88.69052,2022
Georgia,GEO,2022,1455.663,2022
Germany,DEU,2022,8453.617,2022
Ghana,GHA,2022,241.82324,2022
Greece,GRC,2022,3297.9526,2022
Grenada,GRD,2022,918.9973,2022
Guatemala,GTM,2022,783.13855,2022
Guinea,GIN,2022,116.0871,2022
Guinea-Bissau,GNB,2022,186.55786,2022
Guyana,GUY,2022,1229.4951,2022
Haiti,HTI,2022,106.82867,2022
Honduras,HND,2022,556.83435,2022
Hungary,HUN,2022,2906.8828,2022
Iceland,ISL,2022,6699.9253,2022
India,IND,2022,273.14957,2022
Indonesia,IDN,2022,390.1513,2022
Iran,IRN,2022,966.1826,2022
Iraq,IRQ,2022,465.97763,2022
Ireland,IRL,2022,8298.375,2022
Israel,ISR,2022,4008.7734,2022
Italy,ITA,2022,4981.1772,2022
Jamaica,JAM,2022,924.6477,2022
Japan,JPN,2022,5387.27,2022
Jordan,JOR,2022,767.44965,2022
Kazakhstan,KAZ,2022,1129.0114,2022
Kenya,KEN,2022,248.39711,2022
Kiribati,KIR,2022,302.5498,2022
Kuwait,KWT,2022,2415.1292,2022
Kyrgyzstan,KGZ,2022,310.7373,2022
Laos,LAO,2022,188.93178,2022
Latvia,LVA,2022,3139.067,2022
Lebanon,LBN,2022,653.2594,2022
Lesotho,LSO,2022,364.71848,2022
Liberia,LBR,2022,224.43799,2022
Libya,LBY,2022,969.2141,2022
Lithuania,LTU,2022,3725.5947,2022
Luxembourg,LUX,2022,7836.4927,2022
Madagascar,MDG,2022,56.050102,2022
Malawi,MWI,2022,105.4087,2022
Malaysia,MYS,2022,1280.8907,2022
Maldives,MDV,2022,2454.0342,2022
Mali,MLI,2022,89.90893,2022
Malta,MLT,2022,5759.53,2022
Marshall Islands,MHL,2022,746.5047,2022
Mauritania,MRT,2022,274.21933,2022
Mauritius,MUS,2022,1554.4579,2022
Mexico,MEX,2022,1353.3176,2022
Micronesia (country),FSM,2022,378.22745,2022
Moldova,MDA,2022,1095.0647,2022
Monaco,MCO,2022,8764.558,2022
Mongolia,MNG,2022,1266.8844,2022
Montenegro,MNE,2022,3106.6316,2022
Morocco,MAR,2022,552.5957,2022
Mozambique,MOZ,2022,130.91353,2022
Myanmar,MMR,2022,241.94154,2022
Namibia,NAM,2022,929.62006,2022
Nauru,NRU,2022,2576.3142,2022
Nepal,NPL,2022,323.40787,2022
Netherlands,NLD,2022,7576.4463,2022
New Zealand,NZL,2022,5214.0234,2022
Nicaragua,NIC,2022,635.6673,2022
Niger,NER,2022,68.17015,2022
Nigeria,NGA,2022,245.19847,2022
North Macedonia,MKD,2022,1815.3221,2022
Norway,NOR,2022,9927.321,2022
Oman,OMN,2022,1177.5503,2022
Pakistan,PAK,2022,178.53677,2022
Palau,PLW,2022,1978.8544,2022
Palestine,PSE,2022,625.433,2022
