Entity,Code,Year,Expectancy,Expenditure,Population,GDP,Physicians,Undernourishment,Obesity
Afghanistan,AFG,2022,65.617,383.1073,40578847,1981.7102,0.317,30.4,17.59419
Albania,ALB,2022,78.7688,1186.2153,2827614,18448.518,1.879,4.5,26.58335
Algeria,DZA,2022,76.1289,547.32007,45477391,14782.2,1.66,2.5,24.24859
Andorra,AND,2022,84.0164,5136.417,79722,63913.383,5.157,,20.47006
Angola,AGO,2022,64.2455,216.91925,35635028,8950.143,0.244,23.2,10.53502
Antigua and Barbuda,ATG,2022,77.4833,1435.9362,92850,27941.785,,,34.06155
Argentina,ARG,2022,75.8061,2664.3525,45407904,27825.027,5.437,3.2,36.02564
Armenia,ARM,2022,74.6333,1823.5403,2880880,17886.178,3.36,2.5,27.86621
Australia,AUS,2022,82.7662,7072.1724,26200987,60029.133,4.086,2.5,31.82415
Austria,AUT,2022,81.2959,7974.463,9064678,65694.555,5.432,2.5,17.04036
Azerbaijan,AZE,2022,74.125,698.71686,10295307,21051.244,3.185,2.5,27.50411
Bahamas,BHS,2022,74.4911,3047.2175,397542,34342.93,,,47.61047
Bahrain,BHR,2022,80.9921,2256.5115,1533460,57572.996,0.741,,37.18739
Bangladesh,BGD,2022,74.2647,178.71054,169384891,7888.164,0.717,11.9,5.29035
Barbados,BRB,2022,75.6761,1171.5464,282324,20716.285,2.958,3.5,38.22936
Belarus,BLR,2022,74.3612,1510.6686,9173240,26537.508,4.669,2.5,26.55127
Belgium,BEL,2022,81.1589,7388.487,11641814,62561.78,3.574,2.5,22.00038
Belize,BLZ,2022,72.1904,476.5099,402741,12565.364,,4.6,41.91092
Benin,BEN,2022,60.4751,105.51878,13759507,3588.3252,0.19,10.3,9.8947
Bhutan,BTN,2022,72.754,600.0073,780921,14061.3125,0.553,,11.98425
Bolivia,BOL,2022,67.4342,830.75256,12077156,11487.715,1.284,23,27.80303
Bosnia and Herzegovina,BIH,2022,76.7772,1826.6307,3204802,18362.242,2.584,2.5,25.46701
Botswana,BWA,2022,68.7487,1131.766,2439895,18647.373,0.407,24.3,17.45848
Brazil,BRA,2022,74.8719,1696.409,210306411,18554.047,2.357,3.9,28.76292
Brunei,BRN,2022,72.9171,1241.9971,455374,76357.83,1.886,,32.37802
Bulgaria,BGR,2022,74.0342,2569.6711,6825862,30860.877,4.328,2.5,24.24786
Burkina Faso,BFA,2022,60.7,174.36192,22509038,2469.1995,0.148,15.4,6.10077
Burundi,BDI,2022,62.8819,67.94091,13321102,1031.2542,0.078,,4.5345
Cambodia,KHM,2022,70.528,333.34167,17201721,6458.368,0.211,4.6,4.38646
Cameroon,CMR,2022,62.4428,202.47026,27632770,4843.6504,0.136,5.7,13.35076
Canada,CAN,2022,81.2493,6991.1006,38821259,58321.062,2.814,2.5,27.31915
Cape Verde,CPV,2022,75.9068,663.90674,519750,8850.106,0.718,12.6,15.08562
Central African Republic,CAF,2022,18.8177,109.19654,5098038,1136.8018,0.029,23.5,7.66854
Chad,TCD,2022,54.5275,93.507805,18455319,2449.4824,0.082,35.1,5.71398
